sample	patient.x	state.x	bulk.x	freq	mt_mean	n_mean	cnv_mean
AC41HSC3	AC41	healthy	clone	0	7645,31739996379	29,730717	257,152136625692
AC41MPP3	AC41	healthy	clone	1	7138,47504375641	29,738482	240,041675420972
AC41MSCBULK	AC41	healthy	bulk	15	12874,3686402318	29,955345	429,785356844722
AC63HSCc2	AC63	healthy	clone	3	8587,23374977367	35,164553	244,201419246639
AC63MPPc1	AC63	healthy	clone	0	9678,48952863782	36,001668	268,834475353692
AC63MSCBULK	AC63	healthy	bulk	4	9794,5178948639	27,4304	357,067993717332
ACC55HSC15	ACC55	healthy	clone	3	5560,97603959201	43,34207	128,304348167773
ACC55MPP6	ACC55	healthy	clone	2	7824,54976160299	33,749745	231,840263136892
ACC55MSCBULK	ACC55	healthy	bulk	23	11928,6648560565	35,165614	339,213893892383
ACGRABULK	AC33	healthy	bulk	0	2130,73263323073	34,466473	61,8204431080236
ACHSC19	AC33	healthy	clone	1	12746,6357655863	23,068775	552,549312461816
ACHSC23	AC33	healthy	clone	2	11481,7434365381	31,541307	364,022436880568
ACHSC7	AC33	healthy	clone	2	6561,74838553926	26,573378	246,929403764145
ACHSCc6	AC33	healthy	clone	0	13336,6748747661	40,564619	328,776041869545
ACHSCc8	AC33	healthy	clone	2	8562,24020761663	36,579314	234,073285453539
ACMPP21	AC33	healthy	clone	1	13152,1728529181	33,166863	396,545577823206
ACMPP29	AC33	healthy	clone	1	9675,80149677108	33,209515	291,356302456422
ACMPP31	AC33	healthy	clone	0	13824,1248113948	30,772243	449,240076889903
ACMPPc6	AC33	healthy	clone	2	12389,061922868	34,997051	354,003025079685
ACMPPc8	AC33	healthy	clone	3	12171,6039592009	38,800556	313,696637728617
ACMSCBULK	AC33	healthy	bulk	0	14839,3152272316	47,977786	309,295539965758
BCHHSC4	BCH	healthy	clone	0	6883,26151246303	33,58387	204,957365320406
BCHMPP37	BCH	healthy	clone	2	10424,643008027	40,063826	260,200885657477
BCHMSCBULK	BCH	healthy	bulk	1	11340,625505462	42,44763	267,167460361438
CB112MPPC17	CB112	healthy	clone	0	8345,13289878689	26,474112	315,218614274461
CB112MPPC9	CB112	healthy	clone	0	7625,04248898545	36,926168	206,494280397182
CB112MPPO6	CB112	healthy	clone	0	6426,58464602571	25,019822	256,859726900763
CB112MSC	CB112	healthy	clone	0	6028,76293077434	28,314001	212,925150732824
MH3LIMPPCG4	MH3	trisomy	clone	0	13994,2932584948	32,596447	429,319589907906
N01BMHSPCCB8	N01	trisomy	clone	1	5565,59056068562	29,576029	188,179101416408
N01LIHSPCCF14	N01	trisomy	clone	0	14545,0766491641	38,514686	377,650142316209
N01LIHSPCCG2	N01	trisomy	clone	1	5788,2391816042	18,810214	307,717880381595
N01LIHSPCCM6	N01	trisomy	clone	0	8352,87724063009	28,289865	295,260413601482
N01LIHSPCCN6	N01	trisomy	clone	0	12427,0491278894	38,911163	319,369768718798
N01LIMPPCF17	N01	trisomy	clone	0	9013,73015873016	34,988668	257,618556920491
N01SIC10	N01	trisomy	clone	0	12385,3824008691	33,459885	370,156155673252
N01SIC1C	N01	trisomy	clone	1	8500,29700042248	24,788982	342,906255707575
N01SIC2	N01	trisomy	clone	0	11973,7281067053	36,411979	328,840355167328
N01SIC3	N01	trisomy	clone	0	7603,47281067053	19,5575	388,775293911314
N01SIC6	N01	trisomy	clone	0	15566,0638541855	34,691756	448,696337371493
N01SIC8	N01	trisomy	clone	0	7842,4082925946	20,959873	374,162968095971
N01SIC9	N01	trisomy	clone	0	10518,9505099885	22,17727	474,312235454974
NR1LIHSCCH10	NR1	healthy	clone	0	8589,61922868007	28,21336	304,452189625059
NR1LIHSCCN16	NR1	healthy	clone	0	4466,05383547589	28,983143	154,091426022219
NR1LIHSPCCC16	NR1	healthy	clone	0	2421,7845373891	18,426609	131,428660443661
NR1LIHSPCCC6	NR1	healthy	clone	0	2531,27877361337	15,643542	161,809823735147
NR1LIHSPCCD13	NR1	healthy	clone	0	4531,19506306959	17,449296	259,677815257967
NR1LIHSPCCJ19	NR1	healthy	clone	0	1377,23036996801	18,008153	76,4781579747802
NR1LIMPPCC15	NR1	healthy	clone	1	8056,06162109964	29,560005	272,532485062152
NR1LIMPPCI7	NR1	healthy	clone	0	6871,48463999034	28,15524	244,057043732902
NR1LIMPPCK6	NR1	healthy	clone	1	3491,6182630213	25,208602	138,509000341284
NR1LIMPPCL10	NR1	healthy	clone	0	8127,0182268091	33,865378	239,980142161977
NR1SIC11	NR1	healthy	clone	0	8088,34594725089	18,094691	447,00105391415
